created_at,entry_id,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3,,,AVERAGE PRESSURE AND TEMPERATURE ANALYSIS OF PERSON,,,,,
2025-03-16T06:16:09+00:00,1,35.05494,33.28205,34.81319,101.6,101.3,500.98999,,,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3
2025-03-16T06:16:30+00:00,2,34.7326,32.79853,34.81319,103.7,103.5,103.8,,,33.704322,32.605518,35.1838836,197.9016,180.3889328,265.496768
2025-03-16T06:16:52+00:00,3,33.84615,28.19,34.32967,104.3,102,102.1,,,,,,,,
2025-03-16T06:17:13+00:00,4,31.91209,32.07326,36.34432,103.8,100.5,198.3,,,,,,,,
2025-03-16T06:17:34+00:00,5,34.81319,33.92674,36.18315,102.5,500.19,198.89999,,,,,,,,
2025-03-16T06:17:56+00:00,6,35.05494,33.52381,36.34432,500.67999,500.76001,500.54999,,,,,,,,
2025-03-16T06:18:17+00:00,7,36.10256,34.08791,35.94139,101.30001,131.16666,199.10001,,,,,,,,
2025-03-16T06:18:38+00:00,8,35.37729,32.71795,35.61905,102.9,100.6,500.78,,,,,,,,
2025-03-16T06:19:00+00:00,9,35.94139,33.76557,35.86081,500.04999,100.6,500.23999,,,,,,,,
2025-03-16T06:19:21+00:00,10,35.45788,33.76557,35.53846,500.73001,500.16,197.8,,,,,,,,
2025-03-16T06:19:43+00:00,11,34.81319,30.94506,35.2967,101.9,103.6,102.5,,,,,,,,
2025-03-16T06:20:04+00:00,12,34.7326,34.00733,35.78022,500.53,101.5,500.73999,,,,,,,,
2025-03-16T06:20:25+00:00,13,33.12088,32.23443,35.69963,101.6,103.9,104.7,,,,,,,,
2025-03-16T06:20:47+00:00,14,32.31502,31.99267,35.2967,101,100,103.4,,,,,,,,
2025-03-16T06:21:08+00:00,15,32.23443,31.50916,34.97436,101.8,102.9,104.3,,,,,,,,
2025-03-16T06:21:29+00:00,16,32.23443,31.67033,34.97436,101.2,100.9,109.77921,,,,,,,,
2025-03-16T06:21:51+00:00,17,34.41026,34.32967,34.89378,100.1,131.76666,199.10002,,,,,,,,
2025-03-16T06:22:12+00:00,18,32.23443,31.58974,34.57143,103,104.9,100.6,,,,,,,,
2025-03-16T06:22:34+00:00,19,32.15385,31.67033,34.57143,101.9,104.8,104.1,,,,,,,,
2025-03-16T06:22:55+00:00,20,32.47619,32.23443,34.81319,101,500.63,500.94,,,,,,,,
2025-03-16T06:23:16+00:00,21,30.54212,28.23,34.81319,102.3,7.6,103.4,,,,,,,,
2025-03-16T06:23:38+00:00,22,34.49084,34.7326,32.23443,104.7,500.64999,500.23001,,,,,,,,
2025-03-16T06:23:59+00:00,23,32.79853,34.49084,35.21612,500.45001,101.7,500.29999,,,,,,,,
2025-03-16T06:24:21+00:00,24,33.20147,32.95971,35.45788,104.2,102.3,100.7,,,,,,,,
2025-03-16T06:24:42+00:00,25,32.55678,34.41026,35.21612,500.29999,101.8,500.07001,,,,,,,,
