created_at,entry_id,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3,,,,,,,,
2025-03-18T06:37:05+00:00,1,37.23077,35.69963,35.2967,500.70001,134.60001,199.60001,,,AVERAGE PRESSURE AND TEMPERATURE ANALYSIS OF PERSON,,,,,
2025-03-18T06:37:28+00:00,2,37.23077,35.69963,35.05494,500.66,131.49998,202.40001,,,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3
2025-03-18T06:37:49+00:00,3,36.90842,35.37729,35.05494,500.03,133.33333,198.89999,,,36.43589682,33.01465227,35.102565,355.4504527,160.7551518,424.6050018
2025-03-18T06:38:11+00:00,4,37.39194,34.81319,35.37729,500.60999,500.67001,500.17999,,,,,,,,
2025-03-18T06:38:33+00:00,5,37.0696,32.39561,35.78022,500.51999,103.9,118.84005,,,,,,,,
2025-03-18T06:38:54+00:00,6,37.55311,33.36264,35.37729,500.44,500.62,500.20001,,,,,,,,
2025-03-18T06:39:16+00:00,7,36.26374,32.63736,35.69963,98.3,100.8,500.48999,,,,,,,,
2025-03-18T06:39:38+00:00,8,36.50549,32.95971,35.37729,103.3,100.8,500.57001,,,,,,,,
2025-03-18T06:39:59+00:00,9,36.26374,32.55678,35.2967,102.1,103.1,500.79999,,,,,,,,
2025-03-18T06:40:21+00:00,10,37.15018,32.63736,35.37729,500.82999,103.2,500.17001,,,,,,,,
2025-03-18T06:40:43+00:00,11,37.23077,32.79853,35.13553,500.56,500.89001,500.92999,,,,,,,,
2025-03-18T06:41:05+00:00,12,36.34432,32.55678,34.89378,500.79001,102.4,500.70001,,,,,,,,
2025-03-18T06:41:27+00:00,13,36.10256,32.39561,34.89378,500.04999,103.2,500.17001,,,,,,,,
2025-03-18T06:41:48+00:00,14,36.10256,32.31502,34.81319,500.45999,102,500.31,,,,,,,,
2025-03-18T06:42:10+00:00,15,35.94139,32.47619,35.05494,104.2,100.7,500.32999,,,,,,,,
2025-03-18T06:42:32+00:00,16,35.86081,32.23443,34.89378,500.54999,103.1,500.67999,,,,,,,,
2025-03-18T06:42:53+00:00,17,36.26374,32.31502,34.89378,500.39999,102.5,500.54001,,,,,,,,
2025-03-18T06:43:15+00:00,18,35.94139,32.23443,34.81319,98.4,102.3,500.89001,,,,,,,,
2025-03-18T06:43:37+00:00,19,35.94139,32.23443,34.81319,500.01001,102.9,113.89997,,,,,,,,
2025-03-18T06:43:59+00:00,20,35.37729,32.15385,34.81319,102,100.5,500.12,,,,,,,,
2025-03-18T06:44:21+00:00,21,35.53846,32.23443,34.7326,100.8,101.3,500.57999,,,,,,,,
2025-03-18T06:44:42+00:00,22,35.37729,32.23443,34.81319,104.2,102.3,500.01001,,,,,,,,
