created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-03-18T14:48:48+00:00,1,35.13553,34.41026,36.82784,99.00000,131.73332,201.60002,,,,
2025-03-18T14:49:09+00:00,2,35.69963,31.99267,33.52381,500.51999,131.73332,200.30002,,,,
2025-03-18T14:49:31+00:00,3,36.34432,34.08791,36.18315,100.80000,135.10001,199.50000,,,,
2025-03-18T14:49:53+00:00,4,36.18315,33.60439,34.81319,104.40000,133.09999,202.00002,,,,
2025-03-18T14:50:15+00:00,5,37.63370,36.18315,37.23077,101.10001,132.69998,198.20000,,,,
2025-03-18T14:50:39+00:00,6,35.37729,32.71795,34.00733,100.80000,131.26666,201.60002,,,,
2025-03-18T14:51:00+00:00,7,36.82784,32.63736,34.81319,99.80001,132.63333,197.39999,,,,
2025-03-18T14:51:23+00:00,8,35.61905,33.60439,34.73260,102.20000,133.20000,200.89999,,,,
2025-03-18T14:51:45+00:00,9,35.61905,33.12088,35.37729,101.70000,131.49998,201.70000,,,,
2025-03-18T14:52:31+00:00,10,35.61905,33.36264,34.81319,101.60000,130.76666,198.60001,,,,
2025-03-18T14:52:52+00:00,11,28.36000,28.43000,29.81685,101.00000,100.00000,103.80000,,,,
2025-03-18T14:53:14+00:00,12,33.68498,31.02564,34.81319,500.39999,500.13000,500.89001,,,,
2025-03-18T14:53:36+00:00,13,28.21000,28.31000,33.60439,103.20000,102.00000,104.60000,,,,
2025-03-18T14:53:58+00:00,14,35.37729,35.05494,36.82784,99.20000,135.39999,201.70000,,,,
2025-03-18T14:54:20+00:00,15,32.31502,29.25275,35.37729,101.70000,500.25000,102.30000,,,,
2025-03-18T14:54:42+00:00,16,28.37000,28.48000,32.95971,104.70000,104.30000,102.00000,,,,
2025-03-18T14:55:04+00:00,17,34.81319,33.36264,34.41026,99.40001,132.46666,200.00002,,,,
2025-03-18T14:55:25+00:00,18,36.02198,34.81319,34.97436,101.10001,133.53333,201.10002,,,,
2025-03-18T14:55:47+00:00,19,33.76557,30.30037,31.42857,100.80000,135.70000,201.50002,,,,
2025-03-18T14:56:12+00:00,20,36.10256,34.41026,35.29670,99.20000,132.06665,200.70000,,,,
2025-03-18T14:56:34+00:00,21,36.82784,36.10256,37.15018,98.50000,131.69998,197.80000,,,,
2025-03-18T14:56:55+00:00,22,36.50549,36.10256,36.34432,100.10001,130.69998,200.90001,,,,
2025-03-18T14:57:18+00:00,23,34.81319,33.52381,34.73260,99.70000,132.20000,201.20001,,,,
2025-03-18T14:57:41+00:00,24,35.21612,33.76557,34.73260,104.60000,135.00000,201.89999,,,,
